1pRank,2pRank,n,p1_win,p1_rate
9,9,10491,5345,0.5094843198932418
9,10,7934,3252,0.4098815225611293
9,11,7764,2746,0.3536836682122617
9,12,4504,1401,0.311056838365897
9,13,818,206,0.25183374083129584
9,14,716,166,0.23184357541899442
9,15,317,63,0.19873817034700317
9,16,203,23,0.11330049261083744
9,17,137,14,0.10218978102189781
9,18,124,11,0.08870967741935484
9,19,105,9,0.08571428571428572
9,20,26,0,0
9,21,10,1,0.1
9,22,3,1,0.3333333333333333
9,24,4,1,0.25
9,25,4,0,0
9,26,4,0,0
9,27,2,0,0
9,28,6,0,0
10,0,175,120,0.6857142857142857
10,1,85,58,0.6823529411764706
10,2,66,45,0.6818181818181818
10,3,69,51,0.7391304347826086
10,4,86,61,0.7093023255813954
10,5,349,236,0.6762177650429799
10,6,782,448,0.5728900255754475
10,7,1499,958,0.6390927284856571
10,8,4587,2798,0.6099847394811424
10,9,7869,4718,0.5995679247680773
10,10,6001,3013,0.5020829861689718
10,11,6190,2635,0.425686591276252
10,12,8712,3329,0.3821166207529844
10,13,2787,842,0.30211697165410833
10,14,730,211,0.28904109589041094
10,15,1679,522,0.31089934484812387
10,16,158,23,0.14556962025316456
10,17,114,6,0.05263157894736842
10,18,165,13,0.07878787878787878
10,19,79,2,0.02531645569620253
10,20,66,6,0.09090909090909091
10,21,14,2,0.14285714285714285
10,22,13,0,0
10,23,4,4,1
10,24,5,1,0.2
10,25,4,0,0
10,26,1,0,0
10,27,3,0,0
10,28,2,0,0
10,29,2,0,0
11,0,60,39,0.65
11,1,74,43,0.581081081081081
11,2,58,41,0.7068965517241379
11,3,97,77,0.7938144329896907
11,4,92,65,0.7065217391304348
11,5,70,59,0.8428571428571429
11,6,653,429,0.6569678407350689
11,7,291,187,0.6426116838487973
11,8,2123,1366,0.6434291097503533
11,9,7590,4879,0.6428194993412385
11,10,6084,3450,0.5670611439842209
11,11,6034,2988,0.49519390122638385
11,12,8909,4144,0.465147603546975
11,13,6984,2515,0.36010882016036655
11,14,2817,894,0.31735889243876464
11,15,1577,540,0.34242232086239693
11,16,777,186,0.23938223938223938
11,17,134,21,0.15671641791044777
11,18,127,20,0.15748031496062992
11,19,75,12,0.16
11,20,55,6,0.10909090909090909
11,21,88,4,0.045454545454545456
11,22,4,0,0
11,23,3,0,0
11,25,3,0,0
11,27,2,0,0
11,28,6,0,0
12,0,87,54,0.6206896551724138
12,1,12,9,0.75
12,2,75,63,0.84
12,3,131,97,0.7404580152671756
12,4,108,86,0.7962962962962963
12,5,81,56,0.691358024691358
12,6,128,89,0.6953125
12,7,311,183,0.5884244372990354
12,8,754,438,0.5809018567639257
12,9,4438,3113,0.7014420910319964
12,10,8371,5179,0.6186835503524071
12,11,8754,4692,0.5359835503769705
12,12,13745,6622,0.48177519097853766
12,13,10886,4416,0.40565864413007535
12,14,11663,4074,0.34930978307468064
12,15,6816,1906,0.2796361502347418
12,16,1110,259,0.23333333333333334
12,17,866,169,0.1951501154734411
12,18,186,21,0.11290322580645161
12,19,120,5,0.041666666666666664
12,20,103,9,0.08737864077669903
12,21,97,0,0
12,22,80,7,0.0875
