steamid,appid,playtime_forever,playtime_2weeks,1pPlayerName,rank,games,n,sample_weights
76561199211175266,1778820,22.05,22.05,-OXY-,0,1,1460,0.04021595416483032
76561199067248484,1778820,128.98333333333332,51.666666666666664,TekkenHobo,0,1,1460,0.04021595416483032
76561199067248484,389730,9.716666666666667,NA,TekkenHobo,0,1,1460,0.04021595416483032
76561198969959752,1778820,12.016666666666667,12.016666666666667,Guzzo,0,2,1460,0.04021595416483032
76561198128712490,389730,16.416666666666668,NA,Gong,0,1,1460,0.04021595416483032
76561198128712490,1778820,29.533333333333335,29.533333333333335,Gong,0,1,1460,0.04021595416483032
76561198160380677,389730,66.11666666666666,NA,Cheev,0,1,1460,0.04021595416483032
76561198160380677,1778820,77.1,13.533333333333333,Cheev,0,1,1460,0.04021595416483032
76561199573261091,1778820,8.533333333333333,5.066666666666666,TheGigaChad,0,1,1460,0.04021595416483032
76561198056865479,389730,11.166666666666666,0.1,Raaba,0,2,1460,0.04021595416483032
76561198056865479,1778820,39.93333333333333,39.93333333333333,Raaba,0,2,1460,0.04021595416483032
76561198069368459,1778820,18.65,18.65,JcMx,0,2,1460,0.04021595416483032
76561198160892717,389730,0.4166666666666667,NA,SaxGotHandz,0,1,1460,0.04021595416483032
76561198160892717,1778820,1.3833333333333333,1.3833333333333333,SaxGotHandz,0,1,1460,0.04021595416483032
76561197974388346,389730,14.25,NA,Phizar,0,1,1460,0.04021595416483032
76561197974388346,1778820,21.6,3.816666666666667,Phizar,0,1,1460,0.04021595416483032
76561198043710279,389730,402.0833333333333,NA,공참니 원툴,0,1,1460,0.04021595416483032
76561198043710279,1778820,49.516666666666666,49.516666666666666,공참니 원툴,0,1,1460,0.04021595416483032
76561198042348025,389730,17.866666666666667,NA,yosen,0,1,1460,0.04021595416483032
76561198042348025,1778820,19.2,19.2,yosen,0,1,1460,0.04021595416483032
76561198147083778,1778820,0,NA,illipres,0,1,1460,0.04021595416483032
76561198827555866,389730,17.65,NA,Jesse,0,1,1460,0.04021595416483032
76561198827555866,1778820,10.533333333333333,10.533333333333333,Jesse,0,1,1460,0.04021595416483032
76561198045612771,389730,16.466666666666665,NA,Rot Empress,0,1,1460,0.04021595416483032
76561198045612771,1778820,32.75,32.75,Rot Empress,0,1,1460,0.04021595416483032
76561198304260444,389730,32.81666666666667,NA,Geetle,0,1,1460,0.04021595416483032
76561198304260444,1778820,20.95,20.95,Geetle,0,1,1460,0.04021595416483032
76561198101507040,389730,110.08333333333333,NA,2mode,0,2,1460,0.04021595416483032
76561198101507040,1778820,26.633333333333333,26.633333333333333,2mode,0,2,1460,0.04021595416483032
76561198007420624,389730,1.8666666666666667,NA,Aurizzle,0,4,1460,0.04021595416483032
76561198007420624,1778820,6.15,6.15,Aurizzle,0,4,1460,0.04021595416483032
76561198335671999,1778820,20.966666666666665,20.966666666666665,rara,0,3,1460,0.04021595416483032
76561198284542634,1778820,35.416666666666664,18.866666666666667,NotDaddy,0,1,1460,0.04021595416483032
76561198218010037,389730,7.316666666666666,NA,Soma MirokuCruz,0,1,1460,0.04021595416483032
76561198218010037,1778820,14.366666666666667,14.366666666666667,Soma MirokuCruz,0,1,1460,0.04021595416483032
76561198057423428,389730,7.016666666666667,NA,Ms. Bizarre,0,1,1460,0.04021595416483032
76561198057423428,1778820,17.966666666666665,16.15,Ms. Bizarre,0,1,1460,0.04021595416483032
76561198001368037,1778820,18.516666666666666,18.516666666666666,Simri,0,3,1460,0.04021595416483032
76561198288008737,1778820,11.016666666666667,6.016666666666667,my024279,0,1,1460,0.04021595416483032
76561198069982379,1778820,23.166666666666668,7.933333333333334,Kyuu,0,1,1460,0.04021595416483032
76561199442661629,1778820,8.55,8.55,BABARIANBOGUK,0,1,1460,0.04021595416483032
76561198005298397,389730,20.116666666666667,NA,Manic,0,1,1460,0.04021595416483032
76561198005298397,1778820,62.18333333333333,18.816666666666666,Manic,0,1,1460,0.04021595416483032
76561198209727637,389730,12.45,NA,근성제육,0,1,1460,0.04021595416483032
76561198209727637,1778820,10.2,10.2,근성제육,0,1,1460,0.04021595416483032
76561198849396015,389730,0,NA,sengi,0,1,1460,0.04021595416483032
